Summary,Issue Type,Priority,Original Estimate,Labels,Components,Description,Depends On
"Refactor: extract reusable s2sClient.ts helper",Task,High,6h,"s2s,tinglysning,refactor","Tinglysning,Backend","Extract common signing+sending logic from app/lib/tinglysningHistoriskAdkomster.ts into app/lib/s2sClient.ts. Public API: callS2S(operation, unsignedXml, options), loadOcesCertAndKey(), signXmlBody(xml, rootName). RSA-SHA512 + Exclusive C14N + SHA-256 digest. Refactor existing historisk-adkomster to use the helper — no behavior change. Coverage 80%+ on new lib.",
"Implement EjendomAdkomsterHent (current owners) via S2S XML",Task,High,4h,"s2s,tinglysning,forespoerger","Tinglysning,Backend","Create app/lib/tinglysningAdkomster.ts using s2sClient helper. fetchAktuelleAdkomsterByBfe(bfe) returns AdkomstRow[] with dato, dokumentType, aktNummer, adkomsthavere, koebesumDkk. API route /api/etl/ejendom/adkomster with resolveTenantId, heavy rate limit, audit log, CPR-masking. LRU cache 1h. Returns [] on error. Integration test against prod BFE.",Refactor s2sClient
"Implement EjendomServitutterHent via S2S XML",Task,High,4h,"s2s,tinglysning,forespoerger","Tinglysning,Backend","Create app/lib/tinglysningServitutter.ts. fetchServitutterByBfe(bfe) returns ServitutRow[] with dato, type, aktNummer, paataleberettigede, beskrivelse, rawText. API route /api/etl/ejendom/servitutter. Extend existing /api/tinglysning/route.ts to optionally use XML when ?xml=1 set (A/B comparison before full migration).",Refactor s2sClient
"Implement EjendomHaeftelserHent via S2S XML",Task,High,4h,"s2s,tinglysning,forespoerger","Tinglysning,Backend","Create app/lib/tinglysningHaeftelser.ts. fetchHaeftelserByBfe(bfe) returns HaeftelseRow[] with dato, type, hovedstolDkk, restgaeldDkk, kreditor, aktNummer, rente. Parse hovedstol/restgaeld/kreditor from XML + AsciiTekst. Audit log includes count.",Refactor s2sClient
"Implement EjendomSummariskHent via XML (replace REST gradually)",Task,Medium,5h,"s2s,tinglysning,forespoerger,migration","Tinglysning,Backend","Create app/lib/tinglysningSummariskXml.ts as XML version of REST /ejdsummarisk. Modify /api/tinglysning/summarisk/route.ts to add XML-first path behind env flag TINGLYSNING_SUMMARISK_USE_XML. Default off initially. A/B comparison logged when both succeed. No breaking changes to consumers.",Refactor s2sClient
"Implement EjendomIndskannetAktHent via S2S XML",Task,Medium,6h,"s2s,tinglysning,forespoerger,pdf","Tinglysning,Backend","Create app/lib/tinglysningIndskannetAkt.ts. fetchIndskannetAkt(filnavn) returns mimeType + Buffer + filnavn from base64-decoded IndskannetDokumentData. Modify /api/tinglysning/indskannede-akter/download/route.ts to use XML path. 60s timeout. Update docs/tinglysning/xmlapi/XMLAPI-NOTES.md status table.",Refactor s2sClient
"Implement SenesteAendringTinglysningsobjektHent (cache validation)",Task,Medium,3h,"s2s,tinglysning,forespoerger,cache","Tinglysning,Backend","Create app/lib/tinglysningSenesteAendring.ts. fetchSenesteAendring(bfe) returns senesteAendringTid + aendringType + objektUuid. NO caching at lib level (point is to check freshness). Used by /api/cron/refresh-tinglysning-cache. Fast: under 500ms p99.",Refactor s2sClient
"Implement AendredeTinglysningsobjekterHent (incremental changes)",Task,Medium,4h,"s2s,tinglysning,forespoerger,cron","Tinglysning,Backend","Create app/lib/tinglysningAendringer.ts. fetchAendringer(since, limit?) returns AendringEntry[]. Modify /api/cron/pull-tinglysning-aendringer/route.ts to use XML. Pagination support. Idempotent: upsert by objektUuid+aendringTid.",Refactor s2sClient
"Implement EjendomSoeg (search by adresse/matrikel/ejer)",Task,Medium,5h,"s2s,tinglysning,forespoerger,search","Tinglysning,Backend","Create app/lib/tinglysningEjendomSoeg.ts. searchEjendom({adresse|matrikelNr|ejerNavn|cprCvr, pageSize, pageOffset}) returns {results, total}. At least 1 criterion required (validation). Pagination via Antal+offset. Heavy rate limit (5/min/tenant). Cache 1h by input hash. Top 50 results.",Refactor s2sClient
"Implement VirksomhedSoeg (CVR tinglysningsobjekter)",Task,Low,3h,"s2s,tinglysning,forespoerger,cvr","Tinglysning,Backend","Create app/lib/tinglysningVirksomhedSoeg.ts. Input: CVR 8 digits. Output: list of tinglysningsobjekter owned by CVR. Cache 24h.",Refactor s2sClient
